respondentid,do_you_typically_check_a_daily_weather_report,how_do_you_typically_check_the_weather,a_specific_website_or_app_please_provide_the_answer,if_you_had_a_smartwatch_like_the_soon_to_be_released_apple_watch_how_likely_or_unlikely_would_you_be_to_check_the_weather_on_that_device,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region
3887201482,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",South Atlantic
3887159451,True,The default weather app on your phone,-,Very likely,18 - 29,Male,Prefer not to answer,-
3887152228,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
3887145426,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,Prefer not to answer,-
3887021873,True,A specific website or app (please provide the answer),Iphone app,Very likely,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
3886937140,True,A specific website or app (please provide the answer),AccuWeather App,Somewhat likely,18 - 29,Male,"$100,000 to $124,999",West South Central
3886923931,True,The Weather Channel,-,Very unlikely,30 - 44,Male,"$25,000 to $49,999",West South Central
3886913587,True,-,-,-,-,-,-,-
3886889048,True,The Weather Channel,-,Very likely,30 - 44,Male,Prefer not to answer,Pacific
3886848806,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$150,000 to $174,999",West North Central
3886782609,False,Internet search,-,Somewhat unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3886416355,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",East North Central
3886356706,False,-,-,-,-,-,-,-
3886328736,True,Local TV News,-,Very likely,30 - 44,Male,"$0 to $9,999",Middle Atlantic
3886284495,False,The Weather Channel,-,Very unlikely,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
3886283555,True,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
3886272525,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$10,000 to $24,999",Mountain
3886261814,True,A specific website or app (please provide the answer),nice,Very likely,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
3886258514,True,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",West South Central
3886256409,False,The default weather app on your phone,-,Very likely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3886226091,True,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3886201383,True,Local TV News,-,Very likely,30 - 44,Male,"$150,000 to $174,999",West South Central
3886197152,True,The Weather Channel,-,Very unlikely,30 - 44,Male,Prefer not to answer,Mountain
3886132282,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3886121810,False,-,-,-,-,-,-,-
3886114640,True,A specific website or app (please provide the answer),Weather.com,Very unlikely,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
3886112493,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$10,000 to $24,999",East North Central
3886110900,True,Local TV News,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",New England
3886102001,True,The Weather Channel,-,Very likely,45 - 59,Female,"$200,000 and up",Mountain
3886098922,False,Newspaper,-,Very unlikely,18 - 29,Male,"$0 to $9,999",West North Central
3886095863,True,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$10,000 to $24,999",East North Central
3886067670,True,Radio weather,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
3886043003,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$0 to $9,999",West North Central
3886040050,True,Internet search,-,Very likely,18 - 29,Male,"$0 to $9,999",East South Central
3886031017,True,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",South Atlantic
3886019381,False,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Pacific
3886018765,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3886007951,True,A specific website or app (please provide the answer),Weatherbug,Very likely,30 - 44,Male,"$25,000 to $49,999",Mountain
3885984891,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3885983629,True,The Weather Channel,-,Very likely,60+,Male,Prefer not to answer,South Atlantic
3885983248,True,The Weather Channel,-,Very likely,30 - 44,Male,Prefer not to answer,Middle Atlantic
3885969840,True,Internet search,-,Very likely,30 - 44,Male,"$200,000 and up",South Atlantic
3885965613,True,Local TV News,-,Somewhat likely,60+,Male,"$150,000 to $174,999",New England
3885944544,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
3885928568,True,Local TV News,-,Very likely,18 - 29,Male,"$100,000 to $124,999",New England
3885927684,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",South Atlantic
3885872237,False,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",South Atlantic
3885869392,True,A specific website or app (please provide the answer),weather channel app,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3885838101,True,Internet search,-,Very likely,18 - 29,Male,"$10,000 to $24,999",Pacific
3885835130,True,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",South Atlantic
3885824482,True,The Weather Channel,-,Very unlikely,60+,Male,"$100,000 to $124,999",West South Central
3885821034,True,The default weather app on your phone,-,Very likely,60+,Male,Prefer not to answer,East North Central
3885802164,False,Radio weather,-,Very unlikely,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
3885791607,False,Local TV News,-,Somewhat unlikely,30 - 44,Male,"$200,000 and up",Middle Atlantic
3885773515,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",Pacific
3885691247,True,Internet search,-,Somewhat unlikely,30 - 44,Male,Prefer not to answer,West South Central
3885688258,True,A specific website or app (please provide the answer),Yahoo weather iphone,Very likely,18 - 29,Male,"$25,000 to $49,999",West South Central
3885687708,True,Internet search,-,Very unlikely,30 - 44,Male,"$175,000 to $199,999",East North Central
3885683872,True,Local TV News,-,Somewhat likely,30 - 44,Male,Prefer not to answer,Middle Atlantic
3885652370,True,Internet search,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",West North Central
3885637949,False,Internet search,-,Very likely,18 - 29,Male,"$10,000 to $24,999",-
3885625628,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$75,000 to $99,999",West North Central
3885602270,True,The default weather app on your phone,-,Very unlikely,18 - 29,Male,"$125,000 to $149,999",East North Central
3885570360,False,Radio weather,-,Somewhat unlikely,30 - 44,Male,"$125,000 to $149,999",South Atlantic
3885569498,True,A specific website or app (please provide the answer),Weather Puppy,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",South Atlantic
3885540601,True,A specific website or app (please provide the answer),AccuWeather,Very likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3885539632,True,The Weather Channel,-,Very unlikely,18 - 29,Male,"$10,000 to $24,999",East North Central
3885525146,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$200,000 and up",Pacific
3885512170,True,Newsletter,-,Somewhat unlikely,30 - 44,Male,"$25,000 to $49,999",Pacific
3885497220,True,A specific website or app (please provide the answer),Apple weater,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",Pacific
3885496201,True,Radio weather,-,Very unlikely,30 - 44,Male,"$0 to $9,999",-
3885404319,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$25,000 to $49,999",West South Central
3885304775,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
3885296722,True,A specific website or app (please provide the answer),The Weather Channel app,Very likely,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
3885275206,True,-,-,-,-,-,-,-
3885247252,False,Local TV News,-,Somewhat likely,30 - 44,Male,"$150,000 to $174,999",East North Central
3885195077,True,A specific website or app (please provide the answer),"google ""weather""",Very likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3885174420,True,Internet search,-,Somewhat likely,60+,Male,"$175,000 to $199,999",East North Central
3885164782,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$125,000 to $149,999",Middle Atlantic
3885139533,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$200,000 and up",New England
3885123066,True,The Weather Channel,-,Very unlikely,18 - 29,Male,Prefer not to answer,New England
3885040099,True,A specific website or app (please provide the answer),Weather Underground,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West North Central
