title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
10 Rillington Place,http://www.imdb.com/title/tt0066730/,UK,1971,0,Richard Fleischer,1,John Christie,Criminal,False,,False,Male,Richard Attenborough,47
12 Years a Slave,http://www.imdb.com/title/tt2024544/,US/UK,2013,56.7,Steve McQueen,1,Solomon Northup,Other,True,African American,True,Male,Chiwetel Ejiofor,5
127 Hours,http://www.imdb.com/title/tt1542344/,US/UK,2010,18.3,Danny Boyle,1,Aron Ralston,Athlete,False,,False,Male,James Franco,8
1987,http://www.imdb.com/title/tt2833074/,Canada,2014,0,Ricardo Trogi,1,Ricardo Trogi,Other,True,White,False,Male,Jean-Carl Boucher,4
20 Dates,http://www.imdb.com/title/tt0138987/,US,1998,0.537,Myles Berkowitz,1,Myles Berkowitz,Other,False,,False,Male,Myles Berkowitz,20
21,http://www.imdb.com/title/tt0478087/,US,2008,81.2,Robert Luketic,1,Jeff Ma,Other,True,Asian American,True,Male,Jim Sturgess,10
24 Hour Party People,http://www.imdb.com/title/tt0274309/,UK,2002,1.13,Michael Winterbottom,1,Tony Wilson,Musician,True,White,False,Male,Steve Coogan,16
42,http://www.imdb.com/title/tt0453562/,US,2013,95.0,Brian Helgeland,1,Jackie Robinson,Athlete,True,African American,True,Male,Chadwick Boseman,5
8 Seconds,http://www.imdb.com/title/tt0109021/,US,1994,19.6,John G. Avildsen,1,Lane Frost,Athlete,False,,False,Male,Luke Perry,24
84 Charing Cross Road,http://www.imdb.com/title/tt0090570/,US/UK,1987,1.08,David Hugh Jones,2,Frank Doel,Author,False,,False,Male,Anthony Hopkins,31
84 Charing Cross Road,http://www.imdb.com/title/tt0090570/,US/UK,1987,1.08,David Hugh Jones,2,Helene Hanff,Author,False,,False,Female,Anne Bancroft,31
A Beautiful Mind,http://www.imdb.com/title/tt0268978/,US,2001,171.0,Ron Howard,1,John Nash,Academic,False,,False,Male,Russell Crowe,17
A Dangerous Method,http://www.imdb.com/title/tt1571222/,Canada/UK,2011,5.7,David Cronenberg,3,Carl Gustav Jung,Academic,True,White,False,Male,Michael Fassbender,7
A Dangerous Method,http://www.imdb.com/title/tt1571222/,Canada/UK,2011,5.7,David Cronenberg,3,Sigmund Freud,Academic,True,White,False,Male,Viggo Mortensen,7
A Dangerous Method,http://www.imdb.com/title/tt1571222/,Canada/UK,2011,5.7,David Cronenberg,3,Sabina Spielrein,Academic,True,White,False,Female,Keira Knightley,7
A Home of Our Own,http://www.imdb.com/title/tt0107130/,US,1993,1.7,Tony Bill,1,Frances Lacey,Other,False,,False,Female,Kathy Bates,25
A Man Called Peter,http://www.imdb.com/title/tt0048337/,US,1955,0,Henry Koster,1,Peter Marshall,Other,True,White,False,Male,Richard Todd,63
A Man for All Seasons,http://www.imdb.com/title/tt0060665/,UK,1966,0,Fred Zinnemann,1,Thomas More,Historical,True,White,False,Male,Paul Scofield,52
A Matador's Mistress,http://www.imdb.com/title/tt0491046/,US/UK,2008,0,Menno Meyjes,2,Lupe Sino,Actress ,True,Hispanic (White),False,Female,PenÌ©lope Cruz,10
A Matador's Mistress,http://www.imdb.com/title/tt0491046/,US/UK,2008,0,Menno Meyjes,2,Manuel RodrÌ_guez SÌÁnchez,Athlete,True,Hispanic (White),False,Male,Adrien Brody,10
A Mighty Heart,http://www.imdb.com/title/tt0829459/,US/UK,2007,9.17,Michael Winterbottom,2,Daniel Pearl,Journalist,True,White,False,Male,Dan Futterman,11
A Mighty Heart,http://www.imdb.com/title/tt0829459/,US/UK,2007,9.17,Michael Winterbottom,2,Mariane Pearl,Journalist,True,Multi racial,True,Female,Angelina Jolie,11
A Song to Remember,http://www.imdb.com/title/tt0038104/,US,1945,0,Charles Vidor,1,Frederic Chopin,Musician,True,White,False,Male,Cornel Wilde,73
Abe Lincoln in Illinois,http://www.imdb.com/title/tt0032181/,US,1940,0,John Cromwell,1,Abraham Lincoln,World leader,True,White,False,Male,Raymond Massey,78
Above and Beyond,http://www.imdb.com/title/tt0044324/,US,1952,0,"Melvin Frank, Norman Panama",1,Paul Tibbets,Military,False,,False,Male,Robert Taylor,66
Abraham Lincoln,http://www.imdb.com/title/tt0020620/,US,1930,0,D.W. Griffith,1,Abraham Lincoln,World leader,True,White,False,Male,Walter Huston,88
Against the Ropes,http://www.imdb.com/title/tt0312329/,US,2004,5.88,Charles S. Dutton,1,Jackie Kallen,Athlete,False,,False,Female,Meg Ryan,14
Al Capone,http://www.imdb.com/title/tt0052543/,US,1959,0,Richard Wilson,1,Al Capone,Criminal,True,White,False,Male,Rod Steiger,59
Alexander,http://www.imdb.com/title/tt0346491/,US/UK,2004,34.3,Oliver Stone,1,Alexander the Great,Historical,True,White,False,Male,Colin Farrell,14
Alexander the Great,http://www.imdb.com/title/tt0048937/,US,1956,0,Robert Rossen,1,Alexander the Great,Historical,True,White,False,Male,Richard Burton,62
Ali,http://www.imdb.com/title/tt0248667/,US,2001,58.2,Michael Mann,1,Muhammad Ali,Athlete,True,African American,True,Male,Will Smith,17
Alpha Dog,http://www.imdb.com/title/tt0426883/,US,2006,15.2,Nick Cassavetes,1,Jesse James Hollywood,Criminal,False,,False,Male,Emile Hirsch,12
Amadeus,http://www.imdb.com/title/tt0086879/,US,1984,0.366,Milos Forman,2,Antonio Salieri,Musician,True,White,False,Male,F. Murray Abraham,34
Amadeus,http://www.imdb.com/title/tt0086879/,US,1984,0.366,Milos Forman,2,Wolfgang Amadeus Mozart,Musician,True,White,False,Male,Tom Hulce,34
Amazing Grace,http://www.imdb.com/title/tt0454776/,US/UK,2006,21.2,Michael Apted,1,William Wilberforce,Other,True,White,False,Male,Ioan Gruffudd,12
Amelia,http://www.imdb.com/title/tt1129445/,US/Canada,2009,14.2,Mira Nair,1,Amelia Earhart,Other,True,White,False,Female,Hilary Swank,9
American Gangster,http://www.imdb.com/title/tt0765429/,US/UK,2007,130.0,Ridley Scott,1,Frank Lucas,Criminal,True,African American,True,Male,Denzel Washington,11
American Me,http://www.imdb.com/title/tt0103671/,US,1992,13.1,Edward James Olmos,1,Rodolfo Cadena,Criminal,True,Hispanic (Latino),True,Male,Edward James Olmos,26
American Sniper,http://www.imdb.com/title/tt2179136/,US,2014,350.0,Clint Eastwood,1,Chris Kyle,Military,False,,False,Male,Bradley Cooper,4
American Splendor,http://www.imdb.com/title/tt0305206/,US,2003,6.0,"Shari Springer Berman, Robert Pulcini",1,Harvey Pekar,Comedian,True,White,False,Male,Paul Giamatti,15
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,0,Tommy O'Haver,2,Gertrude Baniszewski,Criminal,True,White,False,Female,Catherine Keener,11
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,0,Tommy O'Haver,2,Sylvia Likens,Other,False,,False,Female,Ellen Page,11
An Angel at My Table,http://www.imdb.com/title/tt0099040/,UK,1990,1.1,Jane Campion,1,Janet Frame,Author,True,White,False,Female,Kerry Fox,28
Anastasia,http://www.imdb.com/title/tt0048947/,US,1956,0,Anatole Litvak,1,Anna Anderson / Anastasia,Other,True,White,False,Female,Ingrid Bergman,62
Anna and the King of Siam,http://www.imdb.com/title/tt0038303/,US,1946,0,John Cromwell,1,Anna Leonowens,Other,True,Multi racial,False,Female,Irene Dunne,72
Annie Get Your Gun,http://www.imdb.com/title/tt0042200/,US,1950,8.0,George Sidney,1,Annie Oakley,Athlete,True,White,False,Female,Betty Hutton,68
Annie Oakley,http://www.imdb.com/title/tt0026073/,US,1935,0,George Stevens,1,Annie Oakley,Athlete,True,White,False,Female,Barbara Stanwyck,83
Another Country,http://www.imdb.com/title/tt0086904/,UK,1984,0,Marek Kanievska,1,Guy Burgess,Military,False,,False,Male,Rupert Everett,34
Antwone Fisher,http://www.imdb.com/title/tt0168786/,US,2002,21.1,Denzel Washington,1,Antwone Fisher,Military,True,African American,True,Male,Derek Luke,16
Auto Focus,http://www.imdb.com/title/tt0298744/,US,2002,2.06,Paul Schrader,1,"Robert Edward ""Bob"" Crane",Actor,True,White,False,Male,Greg Kinnear,16
Awakenings,http://www.imdb.com/title/tt0099077/,US,1990,52.1,Penny Marshall,1,Oliver Sacks,Medicine,True,White,False,Male,Robin Williams,28
Baadasssss!,http://www.imdb.com/title/tt0367790/,US,2003,0.365,Mario Van Peebles,1,Melvin Van Peebles,Actor,True,African American,True,Male,Mario Van Peebles,15
Baader,http://www.imdb.com/title/tt0309320/,UK,2002,0,Christopher Roth,1,Andreas Baader,Military,True,White,False,Male,Frank Giering,16
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,2.39,Iain Softley,2,John Lennon,Musician,True,White,False,Male,Ian Hart,24
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,2.39,Iain Softley,2,Stuart Sutcliffe,Musician,True,White,False,Male,Stephen Dorff,24
