page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
1678,SpiderMan_Peter_Parker,SpiderMan_Peter_Parker,Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,,False,4043,1962-08-01,1962,20559
7139,Captain_America_Steven_Rogers,Captain_America_Steven_Rogers,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,False,3360,1941-03-01,1941,28382
64786,Wolverine_James_Logan_Howlett,Wolverine_James_22Logan22_Howlett,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,False,3061,1974-10-01,1974,16115
1868,Iron_Man_Anthony_Tony_Stark,Iron_Man_Anthony_22Tony22_Stark,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,False,2961,1963-03-01,1963,20347
2460,Thor_Thor_Odinson,Thor_Thor_Odinson,No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,False,2258,1950-11-01,1950,24850
2458,Benjamin_Grimm_Earth616,Benjamin_Grimm_Earth616,Public Identity,Good Characters,Blue Eyes,No Hair,Male Characters,,False,2255,1961-11-01,1961,20832
2166,Reed_Richards_Earth616,Reed_Richards_Earth616,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,False,2072,1961-11-01,1961,20832
1833,Hulk_Robert_Bruce_Banner,Hulk_Robert_Bruce_Banner,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,False,2017,1962-05-01,1962,20651
29481,Scott_Summers_Earth616,Scott_Summers_Earth616,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,False,1955,1963-09-01,1963,20163
1837,Jonathan_Storm_Earth616,Jonathan_Storm_Earth616,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,False,1934,1961-11-01,1961,20832
15725,Henry_McCoy_Earth616,Henry_McCoy_Earth616,Public Identity,Good Characters,Blue Eyes,Blue Hair,Male Characters,,False,1825,1963-09-01,1963,20163
1863,Susan_Storm_Earth616,Susan_Storm_Earth616,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,False,1713,1961-11-01,1961,20832
7823,Namor_McKenzie_Earth616,Namor_McKenzie_Earth616,No Dual Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,,False,1528,,,
2614,Ororo_Munroe_Earth616,Ororo_Munroe_Earth616,Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,,False,1512,1975-05-01,1975,15903
1803,Clinton_Barton_Earth616,Clinton_Barton_Earth616,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,False,1394,1964-09-01,1964,19797
1396,Matthew_Murdock_Earth616,Matthew_Murdock_Earth616,Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,False,1338,1964-04-01,1964,19950
55534,Stephen_Strange_Earth616,Stephen_Strange_Earth616,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,False,1307,1963-07-01,1963,20225
1978,Mary_Jane_Watson_Earth616,Mary_Jane_Watson_Earth616,No Dual Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,False,1304,1965-06-01,1965,19524
